application_name,total_logins,unique_users,failed_logins,successful_logins,mtd_unique_users,date
yiwei test SLO OIDC app,129,75,7,122,610,2026-05-15
Flow Application,20,9,0,20,53,2026-05-03
yiwei test SLO OIDC app,23,13,4,19,98,2026-05-03
GCS Migration Solution,9,8,0,9,37,2026-05-03
GC Sign In - Profile Management App,4,1,0,4,16,2026-05-03
Flow Application,63,33,0,63,499,2026-05-15
GCS Migration Solution,22,19,0,22,294,2026-05-15
GC Sign In - Profile Management App,11,8,0,11,147,2026-05-15
yiwei test SLO OIDC app,156,91,13,143,91,2026-06-01
yiwei test SLO OIDC app,39,16,7,32,623,2026-05-18
Flow Application,16,8,0,16,521,2026-05-18
GC Sign In - Profile Management App,5,4,0,5,157,2026-05-18
Flow Application,57,29,0,57,29,2026-06-01
GCS Migration Solution,14,11,0,14,11,2026-06-01
GC Sign In - Profile Management App,12,10,0,12,10,2026-06-01
GCS Migration Solution,2,2,0,2,302,2026-05-18
yiwei test SLO OIDC app,245,136,11,234,856,2026-05-25
GCS Migration Solution,19,19,0,19,411,2026-05-25
Flow Application,90,45,0,90,770,2026-05-25
GC Sign In - Profile Management App,25,20,2,23,239,2026-05-25
yiwei test SLO OIDC app,219,116,13,206,710,2026-04-30
Flow Application,139,69,0,139,772,2026-04-30
GCS Migration Solution,47,46,0,47,628,2026-04-30
GC Sign In - Profile Management App,29,18,0,29,117,2026-04-30
yiwei test SLO OIDC app,193,113,8,185,549,2026-05-13
Flow Application,118,57,0,118,429,2026-05-13
GC Sign In - Profile Management App,32,25,0,32,126,2026-05-13
GCS Migration Solution,27,25,0,27,257,2026-05-13
Flow Application,96,47,0,96,309,2026-05-11
GCS Migration Solution,30,29,0,30,203,2026-05-11
yiwei test SLO OIDC app,180,102,9,171,447,2026-05-11
yiwei test SLO OIDC app,142,83,10,132,156,2026-06-02
Flow Application,57,29,0,57,58,2026-06-02
GC Sign In - Profile Management App,17,13,4,13,23,2026-06-02
GC Sign In - Profile Management App,11,10,1,10,72,2026-05-11
GCS Migration Solution,12,12,0,12,23,2026-06-02
yiwei test SLO OIDC app,52,29,1,51,355,2026-04-25
GC Sign In - Profile Management App,6,4,0,6,60,2026-04-25
Flow Application,45,23,0,45,400,2026-04-25
GCS Migration Solution,18,18,0,18,323,2026-04-25
yiwei test SLO OIDC app,93,61,2,91,299,2026-06-05
GCS Migration Solution,10,10,0,10,62,2026-06-05
Flow Application,41,21,0,41,142,2026-06-05
GC Sign In - Profile Management App,14,11,0,14,50,2026-06-05
yiwei test SLO OIDC app,19,11,3,16,305,2026-06-06
Flow Application,6,3,0,6,145,2026-06-06
GC Sign In - Profile Management App,1,1,0,1,51,2026-06-06
yiwei test SLO OIDC app,31,24,2,29,807,2026-05-23
GC Sign In - Profile Management App,8,7,0,8,219,2026-05-23
Flow Application,36,18,0,36,720,2026-05-23
GCS Migration Solution,1,1,0,1,63,2026-06-06
GCS Migration Solution,6,4,0,6,388,2026-05-23
yiwei test SLO OIDC app,148,104,8,140,253,2026-05-05
GC Sign In - Profile Management App,25,13,0,25,39,2026-05-05
Flow Application,123,58,0,123,161,2026-05-05
GCS Migration Solution,42,39,0,42,111,2026-05-05
yiwei test SLO OIDC app,143,86,5,138,338,2026-05-07
GC Sign In - Profile Management App,14,10,0,14,54,2026-05-07
Flow Application,74,36,0,74,227,2026-05-07
GCS Migration Solution,23,21,0,23,149,2026-05-07
yiwei test SLO OIDC app,178,113,5,173,716,2026-05-20
Flow Application,105,50,0,105,610,2026-05-20
GCS Migration Solution,24,22,0,24,346,2026-05-20
GC Sign In - Profile Management App,24,16,4,20,185,2026-05-20
yiwei test SLO OIDC app,114,72,3,111,351,2026-06-08
Flow Application,43,21,0,43,172,2026-06-08
GCS Migration Solution,9,9,0,9,73,2026-06-08
GC Sign In - Profile Management App,8,7,0,8,59,2026-06-08
Flow Application,492,245,0,492,378,2026-04-24
yiwei test SLO OIDC app,381,251,19,362,335,2026-04-24
GCS Migration Solution,216,207,0,216,305,2026-04-24
GC Sign In - Profile Management App,45,30,11,34,56,2026-04-24
yiwei test SLO OIDC app,126,76,9,117,375,2026-05-08
Flow Application,49,23,0,49,249,2026-05-08
GCS Migration Solution,18,16,0,18,165,2026-05-08
GC Sign In - Profile Management App,10,9,0,10,59,2026-05-08
yiwei test SLO OIDC app,129,84,5,124,961,2026-05-28
Flow Application,50,25,0,50,895,2026-05-28
GC Sign In - Profile Management App,16,13,0,16,286,2026-05-28
GCS Migration Solution,14,13,0,14,468,2026-05-28
yiwei test SLO OIDC app,162,89,12,150,435,2026-06-10
Flow Application,71,36,0,71,234,2026-06-10
VAC Healthshare - VAC - Prod,60,8,0,60,16,2026-06-10
GCS Migration Solution,25,22,4,21,109,2026-06-10
GC Sign In - Profile Management App,9,8,0,9,77,2026-06-10
yiwei test SLO OIDC app,168,88,15,153,580,2026-05-14
Flow Application,85,41,0,85,468,2026-05-14
GCS Migration Solution,20,19,0,20,275,2026-05-14
GC Sign In - Profile Management App,17,15,1,16,140,2026-05-14
yiwei test SLO OIDC app,45,26,3,42,816,2026-05-24
Flow Application,22,11,0,22,730,2026-05-24
GC Sign In - Profile Management App,9,6,3,6,224,2026-05-24
GCS Migration Solution,4,4,0,4,392,2026-05-24
yiwei test SLO OIDC app,23,15,3,20,991,2026-05-30
Flow Application,16,8,0,16,936,2026-05-30
GC Sign In - Profile Management App,12,6,2,10,302,2026-05-30
yiwei test SLO OIDC app,156,84,8,148,84,2026-05-01
GC Sign In - Profile Management App,24,16,0,24,16,2026-05-01
Flow Application,82,39,0,82,39,2026-05-01
GCS Migration Solution,27,26,0,27,26,2026-05-01
yiwei test SLO OIDC app,184,107,6,178,763,2026-05-21
Flow Application,116,59,0,116,667,2026-05-21
GC Sign In - Profile Management App,30,23,1,29,202,2026-05-21
GCS Migration Solution,25,22,0,25,368,2026-05-21
yiwei test SLO OIDC app,29,14,3,26,615,2026-05-16
Flow Application,16,8,0,16,507,2026-05-16
GC Sign In - Profile Management App,6,4,0,6,151,2026-05-16
GCS Migration Solution,3,3,0,3,297,2026-05-16
yiwei test SLO OIDC app,173,101,13,160,500,2026-05-12
yiwei test SLO OIDC app,40,18,0,40,388,2026-05-09
Flow Application,24,12,0,24,260,2026-05-09
GC Sign In - Profile Management App,9,4,0,9,62,2026-05-09
GCS Migration Solution,8,7,0,8,172,2026-05-09
Flow Application,137,67,0,137,374,2026-05-12
GC Sign In - Profile Management App,38,34,2,36,104,2026-05-12
GCS Migration Solution,30,30,0,30,232,2026-05-12
yiwei test SLO OIDC app,20,10,1,19,995,2026-05-31
Flow Application,18,9,0,18,945,2026-05-31
GC Sign In - Profile Management App,8,7,0,8,308,2026-05-31
GCS Migration Solution,2,2,0,2,484,2026-05-31
yiwei test SLO OIDC app,167,98,7,160,794,2026-05-22
Flow Application,71,36,0,71,702,2026-05-22
GCS Migration Solution,17,16,0,17,384,2026-05-22
GC Sign In - Profile Management App,17,15,1,16,213,2026-05-22
yiwei test SLO OIDC app,138,80,6,132,267,2026-06-04
Flow Application,53,27,0,53,121,2026-06-04
GCS Migration Solution,17,13,0,17,52,2026-06-04
GC Sign In - Profile Management App,7,7,1,6,39,2026-06-04
yiwei test SLO OIDC app,211,125,15,196,650,2026-04-29
GC Sign In - Profile Management App,22,20,0,22,103,2026-04-29
Flow Application,151,76,0,151,708,2026-04-29
GCS Migration Solution,68,54,0,68,582,2026-04-29
yiwei test SLO OIDC app,113,74,6,107,466,2026-06-11
Flow Application,41,30,0,41,263,2026-06-11
VAC Healthshare - VAC - Prod,41,9,0,41,23,2026-06-11
GCS Migration Solution,19,13,0,19,122,2026-06-11
GC Sign In - Profile Management App,14,10,0,14,86,2026-06-11
Flow Application,39,20,0,39,420,2026-04-26
Flow Application,193,96,0,193,635,2026-04-28
yiwei test SLO OIDC app,30,22,2,28,372,2026-04-26
GCS Migration Solution,18,16,0,18,339,2026-04-26
yiwei test SLO OIDC app,200,126,8,192,578,2026-04-28
GCS Migration Solution,92,84,0,92,529,2026-04-28
GC Sign In - Profile Management App,15,14,0,15,85,2026-04-28
GC Sign In - Profile Management App,2,1,0,2,61,2026-04-26
Flow Application,255,126,0,255,541,2026-04-27
yiwei test SLO OIDC app,232,151,7,225,489,2026-04-27
GCS Migration Solution,121,109,1,120,447,2026-04-27
GC Sign In - Profile Management App,26,13,10,16,72,2026-04-27
yiwei test SLO OIDC app,147,97,6,141,224,2026-06-03
Flow Application,69,36,0,69,94,2026-06-03
GCS Migration Solution,16,16,0,16,39,2026-06-03
GC Sign In - Profile Management App,17,12,3,14,34,2026-06-03
yiwei test SLO OIDC app,139,80,11,128,395,2026-06-09
VAC Healthshare - VAC - Prod,60,9,0,60,9,2026-06-09
Flow Application,54,27,0,54,199,2026-06-09
