application_name,total_logins,unique_users,failed_logins,successful_logins,mtd_unique_users,date
GCS Migration Solution,20,16,0,20,88,2026-06-09
GC Sign In - Profile Management App,16,11,0,16,70,2026-06-09
yiwei test SLO OIDC app,105,70,2,103,293,2026-05-06
GC Sign In - Profile Management App,14,11,1,13,46,2026-05-06
Flow Application,70,34,0,70,193,2026-05-06
GCS Migration Solution,23,18,0,23,128,2026-05-06
Flow Application,10,5,0,10,265,2026-05-10
yiwei test SLO OIDC app,9,8,0,9,392,2026-05-10
GCS Migration Solution,4,3,0,4,175,2026-05-10
GC Sign In - Profile Management App,3,3,0,3,64,2026-05-10
yiwei test SLO OIDC app,174,106,3,171,666,2026-05-19
Flow Application,93,45,0,93,561,2026-05-19
GCS Migration Solution,26,22,0,26,324,2026-05-19
GC Sign In - Profile Management App,18,18,1,17,172,2026-05-19
yiwei test SLO OIDC app,334,154,15,319,901,2026-05-26
Flow Application,117,59,0,117,825,2026-05-26
GC Sign In - Profile Management App,37,28,2,35,261,2026-05-26
GCS Migration Solution,29,29,0,29,440,2026-05-26
yiwei test SLO OIDC app,16,13,1,15,310,2026-06-07
Flow Application,13,7,0,13,151,2026-06-07
GC Sign In - Profile Management App,2,2,0,2,53,2026-06-07
GCS Migration Solution,2,2,0,2,65,2026-06-07
yiwei test SLO OIDC app,147,50,11,136,50,2026-04-22
Flow Application,134,68,0,134,72,2026-04-22
GCS Migration Solution,71,47,2,69,47,2026-04-22
GC Sign In - Profile Management App,29,13,3,26,17,2026-04-22
yiwei test SLO OIDC app,13,6,0,13,89,2026-05-02
Flow Application,10,5,0,10,44,2026-05-02
GC Sign In - Profile Management App,3,1,0,3,16,2026-05-02
GCS Migration Solution,3,3,0,3,29,2026-05-02
yiwei test SLO OIDC app,143,83,14,129,987,2026-05-29
Flow Application,68,35,0,68,928,2026-05-29
GC Sign In - Profile Management App,18,13,0,18,298,2026-05-29
GCS Migration Solution,15,14,0,15,482,2026-05-29
yiwei test SLO OIDC app,17,10,1,16,618,2026-05-17
Flow Application,12,6,0,12,513,2026-05-17
GC Sign In - Profile Management App,5,3,2,3,153,2026-05-17
GCS Migration Solution,3,3,0,3,300,2026-05-17
yiwei test SLO OIDC app,172,79,1,171,112,2026-04-23
Flow Application,125,63,0,125,135,2026-04-23
GCS Migration Solution,54,52,0,54,98,2026-04-23
GC Sign In - Profile Management App,22,17,2,20,31,2026-04-23
yiwei test SLO OIDC app,299,170,15,284,940,2026-05-27
Flow Application,99,51,0,99,872,2026-05-27
GC Sign In - Profile Management App,19,17,0,19,275,2026-05-27
GCS Migration Solution,19,16,0,19,456,2026-05-27
yiwei test SLO OIDC app,174,106,11,163,183,2026-05-04
Flow Application,102,50,0,102,103,2026-05-04
GCS Migration Solution,39,35,0,39,72,2026-05-04
GC Sign In - Profile Management App,19,14,0,19,30,2026-05-04
